Parameter Fields,Value,Type
CAMPAIGN_PROJECT,Remain the same,java.lang.String
PROGRAM_ID,Remain the same,java.lang.String
CLIENT_GROUP,Custom field (Client Group - Client Name),java.lang.String
CLIENT,Custom field (Client Group - Client Name),java.lang.String
INDUSTRY,Custom field (Industry),java.lang.String
CLIENT_TYPE,Custom field (Client Type),java.lang.String
CAMPAIGN_OBJ,Custom field (Campaign Objective),java.lang.String
MSISDN,MSISDN,java.lang.String
CAMAPAIGN_FREQUENCY,"Batch = One Time, RT = Realtime",java.lang.String
MONTH_WEEK,getWeekOfMonth(),java.lang.String
SUBS_TYPE,SUBS_TYPE,java.lang.String
TRUEPOINT_UPDATE_DATE,TRUEPOINT_UPDATE_DATE,java.lang.String
LIFESTAGE,LIFESTAGE,java.lang.String
LIFESTYLE,LIFESTYLE,java.lang.String
CARD_TIER,CARD_TIER,java.lang.String
BALANCED_POINT,BALANCED_POINT,java.lang.String
MONTH,getMonth(),java.lang.String
WEBSITE_DOMAIN_URL,FST_URI,java.lang.String
WEBSITE_SUB_URL,HOST,java.lang.String
LATITUDE,LATITUDE,java.lang.String
LONGTITUDE,LONGITUDE,java.lang.String
INTERSEC_FILTER,INTERSEC_FILTER,java.lang.String
RECORD_TYPE,RECORD_TYPE,java.lang.String
RECORD_TIMESTAMP,RECORD_TIMESTAMP,java.lang.String
EVENT,EVENT,java.lang.String
INTERSEC_TIMESTAMP,INTERSEC_TIMESTAMP,java.lang.String
INTERSEC_NAMES,INTERSEC_NAMES,java.lang.String
ADDITIONAL1,"if(RECORD_TYPE.equals(""SEQ"")){
    java.text.DateFormat sdf = new java.text.SimpleDateFormat(""yyyyMMdd HHmmss"");
    java.util.Date date = new java.util.Date();
    String CurDate = sdf.format(date);
    String Date = sdf.format(RT_TIMESTAMP);
    return ""sourcedate:""+Date+"",currentdate:""+CurDate+"",latitude:""+LATITUDE+"",Longitude:""+LONGITUDE+"",URL:""+FST_URI+"",HOSTNAME:""+HOST;

    } else if(RECORD_TYPE.equals(""INTERSEC"")){
    java.text.DateFormat sdf = new java.text.SimpleDateFormat(""yyyyMMdd HHmmss"");
    java.util.Date date = new java.util.Date();
    String CurDate = sdf.format(date);
    long cur_date = date.getTime();
    String Date = sdf.format(INTERSEC_TIMESTAMP);
    int delay=Math.toIntExact((cur_date-INTERSEC_TIMESTAMP)/60000l);
    //return ""delay:""+delay+"",sourcedate:""+Date+"",currentdate:""+CurDate+"",filter:""+INTERSEC_FILTER+"",stamp:""+INTERSEC_TIMESTAMP+"",name:""+INTERSEC_NAMES+"",event:""+EVENT;
    return ""delay:""+delay+"",sourcedate:""+Date+"",currentdate:""+CurDate+"",filter:""+INTERSEC_FILTER+"",name:""+INTERSEC_NAMES+"",event:""+EVENT;
    }
        return """";",java.lang.String
ADDITIONAL2,,java.lang.String
ADDITIONAL3,,java.lang.String
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,“”,
,“”,
