PROGRAM_ID,OFFER_ID,SENDER_ID,ACTION,STATUS,MSISDN,NOTIFICATION_MSG
ECommerce_Lazada_Program,Lazada_Special_HeavilyUse_Shopee_Offer,Lazada,smsmt-submit,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,แจกคูปองส่วนลดเฉพาะลูกค้าทรู พร้อมช้อปสุดคุ้ม! กับ Lazada 3.3 Big Bonus Brand Sale ถูกสุดในรอบปี วันนี้วันเดียว คลิกเลย https://stg.elinks.io/l2I5xxcy
ECommerce_Lazada_Program,Lazada_Special_HeavilyUse_Shopee_Offer,Lazada,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,แจกคูปองส่วนลดเฉพาะลูกค้าทรู พร้อมช้อปสุดคุ้ม! กับ Lazada 3.3 Big Bonus Brand Sale ถูกสุดในรอบปี วันนี้วันเดียว คลิกเลย ((https://c.lazada.co.th/t/c.bVs26y?sub_aff_id=Batch032022-TDG-Shop-0a5707a529376deb14e0c9a80ff706be7e197d9aa624d9d6503a981f0ae492fc))
ECommerce_Lazada_Program,Lazada_Special_HeavilyUse_Shopee_Offer,Lazada,sms-dr,Message acknowledged by SMSC,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,แจกคูปองส่วนลดเฉพาะลูกค้าทรู พร้อมช้อปสุดคุ้ม! กับ Lazada 3.3 Big Bonus Brand Sale ถูกสุดในรอบปี วันนี้วันเดียว คลิกเลย https://stg.elinks.io/l2I5xxcy
ECommerce_Lazada_Program,Lazada_Special_HeavilyUse_Shopee_Offer,Lazada,sms-dr,Successfully sent to phone,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,แจกคูปองส่วนลดเฉพาะลูกค้าทรู พร้อมช้อปสุดคุ้ม! กับ Lazada 3.3 Big Bonus Brand Sale ถูกสุดในรอบปี วันนี้วันเดียว คลิกเลย https://stg.elinks.io/l2I5xxcy
UOB_Program,UOB_Xsales_iCash_Offer,True,smsmt-submit,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับ SMS นี้เท่านั้น สมัครสินเชื่อส่วนบุคคลกับ UOB iCash รับสิทธิพิเศษ!ดอกเบี้ยเริ่มต้น 9.50% ต่อปี 6 เดือนแรก และตั้งแต่เดือนที่ 7 เป็นต้นไปดอกเบี้ย 14.50% ต่อปี (คุณสมบัติ เงื่อนไขและการอนุมัติสินเชื่อเป็นไปตามหลักเกณฑ์ของธนาคาร) ตั้งแต่ 1 มี.ค.65 - 30 มิ.ย.65 รายละเอียดเพิ่มเติมโทร.0-2093-6803
UOB_Program,UOB_Xsales_CreditCard_B_Offer,True,smsmt-submit,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับข้อความนี้เท่านั้น รับสิทธิพิเศษสุดคุ้ม 3 ต่อ ได้แก่ ต่อที่ 1 รับเครดิตเงินคืนสูงสุด 1,000 บาท,ต่อที่ 2 รับเครดิตเงินคืน 10% จากยอดชำระบิล TrueMove H, TrueOnline, TrueVisions นาน 1 ปี และต่อที่ 3 รับกระเป๋า Valentino Rudy Smarty Bag 1 ใบ มูลค่า 2,190 บาท เมื่อใช้จ่ายผ่านบัตรฯ ตามเงื่อนไข เพียงสมัครบัตรเครดิตยูโอบีพร้อมบริการยูโอบี เพย์บิล ระหว่างวันที่ 17 ม.ค. 65 – 15 เม.ย. 65 รายละเอียดเพิ่มเติม https://stg.elinks.io/RY52R_jF หรือ โทร.0-2089-9999"
UOB_Program,UOB_Xsales_CreditCard_Offer,True,smsmt-submit,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับข้อความนี้เท่านั้น รับสิทธิพิเศษสุดคุ้ม 3 ต่อ ได้แก่ ต่อที่ 1 รับเครดิตเงินคืนสูงสุด 1,500 บาท,ต่อที่ 2 รับเครดิตเงินคืน 10% จากยอดชำระบิล TrueMove H, TrueOnline, TrueVisions นาน 1 ปี และต่อที่ 3 รับกระเป๋า Valentino Rudy Smarty Bag 1 ใบ มูลค่า 2,190 บาท เมื่อใช้จ่ายผ่านบัตรฯ ตามเงื่อนไข เพียงสมัครบัตรเครดิตยูโอบีพร้อมบริการยูโอบี เพย์บิล ระหว่างวันที่ 17 ม.ค. 65 – 15 เม.ย. 65 รายละเอียดเพิ่มเติม https://stg.elinks.io/G03q2yIw หรือ โทร.0-2089-9999"
UOB_Program,UOB_Xsales_iCash_Offer,True,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับ SMS นี้เท่านั้น สมัครสินเชื่อส่วนบุคคลกับ UOB iCash รับสิทธิพิเศษ!ดอกเบี้ยเริ่มต้น 9.50% ต่อปี 6 เดือนแรก และตั้งแต่เดือนที่ 7 เป็นต้นไปดอกเบี้ย 14.50% ต่อปี (คุณสมบัติ เงื่อนไขและการอนุมัติสินเชื่อเป็นไปตามหลักเกณฑ์ของธนาคาร) ตั้งแต่ 1 มี.ค.65 - 30 มิ.ย.65 รายละเอียดเพิ่มเติมโทร.0-2093-6803
UOB_Program,UOB_Xsales_CreditCard_B_Offer,True,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับข้อความนี้เท่านั้น รับสิทธิพิเศษสุดคุ้ม 3 ต่อ ได้แก่ ต่อที่ 1 รับเครดิตเงินคืนสูงสุด 1,000 บาท,ต่อที่ 2 รับเครดิตเงินคืน 10% จากยอดชำระบิล TrueMove H, TrueOnline, TrueVisions นาน 1 ปี และต่อที่ 3 รับกระเป๋า Valentino Rudy Smarty Bag 1 ใบ มูลค่า 2,190 บาท เมื่อใช้จ่ายผ่านบัตรฯ ตามเงื่อนไข เพียงสมัครบัตรเครดิตยูโอบีพร้อมบริการยูโอบี เพย์บิล ระหว่างวันที่ 17 ม.ค. 65 – 15 เม.ย. 65 รายละเอียดเพิ่มเติม ((https://www.uob.co.th/truememberothers)) หรือ โทร.0-2089-9999"
UOB_Program,UOB_Xsales_iCash_Offer,True,sms-dr,Message acknowledged by SMSC,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับ SMS นี้เท่านั้น สมัครสินเชื่อส่วนบุคคลกับ UOB iCash รับสิทธิพิเศษ!ดอกเบี้ยเริ่มต้น 9.50% ต่อปี 6 เดือนแรก และตั้งแต่เดือนที่ 7 เป็นต้นไปดอกเบี้ย 14.50% ต่อปี (คุณสมบัติ เงื่อนไขและการอนุมัติสินเชื่อเป็นไปตามหลักเกณฑ์ของธนาคาร) ตั้งแต่ 1 มี.ค.65 - 30 มิ.ย.65 รายละเอียดเพิ่มเติมโทร.0-2093-6803
